METHOD,DESCRIPTION,COUNTRY
"BFFG01","Gammaspectrometric analysis with Germanium detectors (p-type HGeLi's and HPGe's and 1 n-type HPGe), with efficiency 20-48% Energy resolution 1.8-2.3 keV at 1.33 MeV (not to in use any more)",6
"BFFG02","Sr-90, a) Y-90 extraction method dried ash and added Y-90 + HCl, Ph adjustment and Y-90 extraction with HDEHP in n-heptane b) Modified version of classic nitric acid method (not to in use any more)",6
"BFFG03","Pu238, Pu239241; Ashing and and drying the traces (not to in use any more)",6
"BFFG04","Am-241 (not to in use any more)",6
"CLOR01","137Cs and 40K activity concentrations are determined by gamma spectrometry with high purity Germanium detector with energy resolution 1.8 keV for 60Co (1332 keV) and relative efficiency of 30%.",67
"CLOR02","Radiochemical method Radiocaesium separation from seawater samples.134+137Cs was adsorbed on AMP mat,  dissolved with NaOH and after purification precipitated as chloroplatinate (Cs2PtCl6).Counting with low background anticoincidence beta counter.",67
"CLOR03","Radiochem. meth.-134+137Cs was measured after a radiochemical separation from dissolved in nitric and fluoric acids sediment samples - 134+137Cs were adsorbed on AMP mat and their beta activity was counted in a low-background anticoincidence beta counter",67
"CLOR04","Radiochem. meth of Sr90. Precipation with oxalate and separation of calcium, barium, radium and ytrium couting with low background anticoincidence beta counter. 1982-1994",67
"CLOR05","Dissolved nitric acid samples evaporated and filtered, dried and heated in muffle furnace and dissolved in HCl.- Fe carrier and NH4OH added and precipitate discarded Filtrate acidified Y carrier added stored, precipitated filtered and dried - Beta count",67
"CLOR06","Radiochem. meth determination of radium-226.Concentration of 226Ra was determined radiochemically using emanation method (measurement of 222Rn in Lucas-type scintillation chambers) preceded by separation of radium",67
"CLOR07","For tritium liquid scintialtion counting, combined with electrolytic enrichment of analysed water samples, double distilled, before and after electrolysis in cells. Liquid Scintillation spectrometer LKB Wallac model 1410",67
"CLOR08","Alpha spectrometry preceded by radiochemical separation Pu was separated by ion exchange, followed by electrodeposition onto stainless steel disks. 242Pu used as an internal tracer for counting alpha activity and chemical recovery- meas. alfa spectrometry",67
"DHIG01","direct gamma counting using HPGe-detectors; sediment and suspended matter undergo freeze-drying beforehand",6
"DHIG02","determination of Sr-90 via Y-90: after several purification steps Y-90 is measured as yttrium oxide in a low level beta gas flow counter",6
"DHIG03","absorption of radiocaesium on KNiFC-PAN, gamma spectrometry of KNiFC-PAN afterwards",6
"DHIG04","determination of H-3: distillation of seawater at reduced pressure, electrolytical enrichment of H-3 followed by another distillation at reduced pressure, measurement of distilled sample aliquot in a low level scintillation counter",6
"DHIG05","determination of H-3: distillation of seawater at room temperature and room pressure, measurement of distilled sample aliquot in a low level scintillation counter",6
"DHIG06","determination of Pu-238, Pu-239/240 and Am-241: after several purification steps the transuranic elements are electrolytically deposited on a stainless steel disk and measured by alpha spectrometry",6
"EBRS01","Pretreatment drying (sediment, biota samples) and ashing (biota samples)or vaporization to 1000 ml (sea water samples), measured by gamma-spectrometry using HPGe detectors / SEDIMENT, BIOTA and SEAWATER Cs137, Cs134, K40",91
"EMHI01","not defined",91
"EMHI02","not defined",91
"ERPC01","Pretreatment drying (sediment, biota samples) and ashing (biota samples)or vaporization to 1000 ml (sea water samples), measured by gamma-spectrometry using HPGe detectors sediment, biota, sea water /Cs-137, Cs-134, K-40",91
"ERPC02","Pretreatment drying, ashing. HDEHP-extraction of Y-90 and counting the Cerenkov radiation in a liguid scintillation counter Sediment / Sr-90",91
"IMGW01","Radiochemical method. acidified samples are pre-concentrated using NH4-Pmo separation on Bio rex 40 resin and preparation of Cs Cloropaltinate for beta counter",67
"IMGW02","Classic nitric acid method, Equipment: Llow level beta counter FHT 770T (ESM Eberline)",67
"IMGW03","137Cs activity concentrations are determined by gamma spectrometry with high purity Germanium detector with energy resolution 1.8 keV for 60Co (1332 keV) and relative efficiency of 18%.",67
"JORC01","Pretreatment drying and ashing (450 deg C), measured by gamma spectrometry using lead-shielded Ge detectors for biota and fish/Cs137 (detailed instructions as a file)",93
"JORC02","Radiocaesium filtered through Cu2Fe(CN)6 impregnated cartridges, measured by gamma spectormetry using lead-shielded Ge detectors for sewawater/Cs137",93
