BASINNAME,ABREVIATION,BASIN,BASIN_RANK,BASIN_INDICATOR,BASIN_INDICATOR_NAME
"ARCHIPELAGO AND ÅLAND SEA","ARC",1,3,10,"ARCHIPELAGO AND ÅLAND SEA"
"ARKONA SEA","ARS",2,11,8,"ARKONA, SOUND AND BELT SEA"
"NORTHERN BALTIC PROPER","NOB",3,5,4,"NORTHERN BALTIC PROPER"
"SOUTHERN BALTIC PROPER","SOB",4,9,7,"BORNHOLM SEA AND SOUTHERN BALTIC"
"BELT SEA","BES",5,12,8,"ARKONA, SOUND AND BELT SEA"
"BORNHOLM SEA","BOR",6,10,7,"BORNHOLM SEA AND SOUTHERN BALTIC"
"BAY OF BOTHNIA","BOB",7,1,1,"BAY OF BOTHNIA"
"BOTHNIAN SEA","BOS",8,2,2,"BOTHNIAN SEA"
"GOTLAND EAST","GOE",9,7,5,"GOTLAND EAST AND WEST"
"GOTLAND WEST","GOW",10,6,5,"GOTLAND EAST AND WEST"
"GULF OF FINLAND","GUF",11,4,3,"GULF OF FINLAND"
"KATTEGAT","KAT",12,14,9,"KATTEGAT"
"SOUND","SOU",13,13,8,"ARKONA, SOUND AND BELT SEA"
"GULF OF RIGA","GUF",14,8,6,"GULF OF RIGA"
"SKAGERAK","SKA",15,15,,"SKAGERAK"
"LAKE LADOGA","LAD",16,16,,"LAKE LADOGA"
