KEY,COUNTRY,LABORATORY,SEQUENCE,DATE,YEAR,MONTH,DAY,STATION,LATITUDE (ddmmmm),LATITUDE (dddddd),LONGITUDE (ddmmmm),LONGITUDE (dddddd),TDEPTH,SDEPTH,SALIN,TTEMP,FILT,MORS_SUBBASIN,HELCOM_SUBBASIN,DATE_OF_ENTRY
"WCLOR1984001",67,"CLOR",1984001,"06/13/84 00:00:00",1984,6,13,"ZN2",54.23,54.3833,18.5705,18.9508,16,0,4.6,,"N",4,4,
"WCLOR1984002",67,"CLOR",1984002,"06/13/84 00:00:00",1984,6,13,"ZN2",54.23,54.3833,18.5705,18.9508,16,14,7.8,,"N",4,4,
"WCLOR1984003",67,"CLOR",1984003,"06/13/84 00:00:00",1984,6,13,"P110",54.3,54.5,19.0608,19.1013,70,0,6.9,,"N",4,4,
"WCLOR1984004",67,"CLOR",1984004,"06/13/84 00:00:00",1984,6,13,"P110",54.3,54.5,19.0608,19.1013,70,68,8.4,,"N",4,4,
"WCLOR1984005",67,"CLOR",1984005,"06/14/84 00:00:00",1984,6,14,"P116",54.39,54.65,19.18,19.3,87,0,8,,"N",4,4,
"WCLOR1984006",67,"CLOR",1984006,"06/14/84 00:00:00",1984,6,14,"P116",54.39,54.65,19.18,19.3,87,84,10.1,,"N",4,4,
"WCLOR1984007",67,"CLOR",1984007,"06/05/84 00:00:00",1984,6,5,"P1",54.5,54.8333,19.2,19.3333,109,0,0.78,,"N",4,4,
"WCLOR1984008",67,"CLOR",1984008,"06/05/84 00:00:00",1984,6,5,"P1",54.5,54.8333,19.2,19.3333,109,105,11.6,,"N",4,4,
"WCLOR1984009",67,"CLOR",1984009,"06/14/84 00:00:00",1984,6,14,"P1",54.5,54.8333,19.2,19.3333,109,0,7.7,,"N",4,4,
"WCLOR1984010",67,"CLOR",1984010,"06/14/84 00:00:00",1984,6,14,"P1",54.5,54.8333,19.2,19.3333,109,30,7.9,,"N",4,4,
"WCLOR1984011",67,"CLOR",1984011,"06/14/84 00:00:00",1984,6,14,"P1",54.5,54.8333,19.2,19.3333,109,59,8.5,,"N",4,4,
"WCLOR1984012",67,"CLOR",1984012,"06/14/84 00:00:00",1984,6,14,"P1",54.5,54.8333,19.2,19.3333,109,87,11.3,,"N",4,4,
"WCLOR1984013",67,"CLOR",1984013,"06/14/84 00:00:00",1984,6,14,"P1",54.5,54.8333,19.2,19.3333,109,105,11.4,,"N",4,4,
"WCLOR1984014",67,"CLOR",1984014,"05/30/84 00:00:00",1984,5,30,"P40",55.38,55.6333,18.36,18.6,95,0,7.8,,"N",4,9,
"WCLOR1984015",67,"CLOR",1984015,"05/30/84 00:00:00",1984,5,30,"P40",55.38,55.6333,18.36,18.6,95,20,7.9,,"N",4,9,
"WCLOR1984016",67,"CLOR",1984016,"05/30/84 00:00:00",1984,5,30,"P40",55.38,55.6333,18.36,18.6,95,40,8,,"N",4,9,
"WCLOR1984017",67,"CLOR",1984017,"05/30/84 00:00:00",1984,5,30,"P40",55.38,55.6333,18.36,18.6,95,60,8.199999999999999,,"N",4,9,
"WCLOR1984018",67,"CLOR",1984018,"05/30/84 00:00:00",1984,5,30,"P40",55.38,55.6333,18.36,18.6,95,80,10.2,,"N",4,9,
"WCLOR1984019",67,"CLOR",1984019,"05/30/84 00:00:00",1984,5,30,"P40",55.38,55.6333,18.36,18.6,95,93,11.9,,"N",4,9,
"WCLOR1984020",67,"CLOR",1984020,"06/15/84 00:00:00",1984,6,15,"P40",55.38,55.6333,18.36,18.6,95,0,7.9,,"N",4,9,
"WCLOR1984021",67,"CLOR",1984021,"06/15/84 00:00:00",1984,6,15,"P40",55.38,55.6333,18.36,18.6,95,67,8.300000000000001,,"N",4,9,
"WCLOR1984022",67,"CLOR",1984022,"06/15/84 00:00:00",1984,6,15,"P40",55.38,55.6333,18.36,18.6,95,90,10.8,,"N",4,9,
"WCLOR1984023",67,"CLOR",1984023,"05/31/84 00:00:00",1984,5,31,"P2",55.18,55.3,18,18,78,0,7.9,,"N",4,9,
"WCLOR1984024",67,"CLOR",1984024,"05/31/84 00:00:00",1984,5,31,"P2",55.18,55.3,18,18,78,76,13.1,,"N",4,9,
"WCLOR1984025",67,"CLOR",1984025,"06/15/84 00:00:00",1984,6,15,"P2",55.18,55.3,18,18,78,0,8.1,,"N",4,9,
"WCLOR1984026",67,"CLOR",1984026,"06/15/84 00:00:00",1984,6,15,"P2",55.18,55.3,18,18,78,74,12.1,,"N",4,9,
"WCLOR1984027",67,"CLOR",1984027,"06/03/84 00:00:00",1984,6,3,"P3",55.13,55.2167,17.05,17.0833,92,0,8.1,,"N",4,6,
"WCLOR1984028",67,"CLOR",1984028,"06/03/84 00:00:00",1984,6,3,"P3",55.13,55.2167,17.05,17.0833,92,87,13.9,,"N",4,6,
"WCLOR1984029",67,"CLOR",1984029,"06/16/84 00:00:00",1984,6,16,"P3",55.13,55.2167,17.05,17.0833,92,0,8.1,,"N",4,6,
"WCLOR1984030",67,"CLOR",1984030,"06/16/84 00:00:00",1984,6,16,"P3",55.13,55.2167,17.05,17.0833,92,88,13.3,,"N",4,6,
"WCLOR1984031",67,"CLOR",1984031,"06/03/84 00:00:00",1984,6,3,"P5",55.15,55.25,15.59,15.9833,91,0,7.9,,"N",6,6,
"WCLOR1984032",67,"CLOR",1984032,"06/03/84 00:00:00",1984,6,3,"P5",55.15,55.25,15.59,15.9833,91,20,7.9,,"N",6,6,
"WCLOR1984033",67,"CLOR",1984033,"06/03/84 00:00:00",1984,6,3,"P5",55.15,55.25,15.59,15.9833,91,40,8.300000000000001,,"N",6,6,
"WCLOR1984034",67,"CLOR",1984034,"06/03/84 00:00:00",1984,6,3,"P5",55.15,55.25,15.59,15.9833,91,60,11.6,,"N",6,6,
"WCLOR1984035",67,"CLOR",1984035,"06/03/84 00:00:00",1984,6,3,"P5",55.15,55.25,15.59,15.9833,91,80,15.7,,"N",6,6,
"WCLOR1984036",67,"CLOR",1984036,"06/03/84 00:00:00",1984,6,3,"P5",55.15,55.25,15.59,15.9833,91,87,16.2,,"N",6,6,
"WCLOR1984037",67,"CLOR",1984037,"06/16/84 00:00:00",1984,6,16,"P5",55.15,55.25,15.59,15.9833,91,0,8.1,,"N",6,6,
"WCLOR1984038",67,"CLOR",1984038,"06/16/84 00:00:00",1984,6,16,"P5",55.5,55.8333,15.59,15.9833,91,87,16.1,,"N",6,6,
"WCLOR1984039",67,"CLOR",1984039,"06/03/84 00:00:00",1984,6,3,"P39",54.2,54.3333,14.25,14.4167,63,0,8.199999999999999,,"N",2,6,
"WCLOR1984040",67,"CLOR",1984040,"06/03/84 00:00:00",1984,6,3,"P39",54.2,54.3333,14.25,14.4167,63,61,12.6,,"N",2,6,
"WCLOR1984041",67,"CLOR",1984041,"06/17/84 00:00:00",1984,6,17,"P39",54.2,54.3333,14.25,14.4167,63,0,8.1,,"N",2,6,
"WCLOR1984042",67,"CLOR",1984042,"06/17/84 00:00:00",1984,6,17,"P39",54.2,54.3333,14.25,14.4167,63,8,8.1,,"N",2,6,
"WCLOR1984043",67,"CLOR",1984043,"06/17/84 00:00:00",1984,6,17,"P39",54.2,54.3333,14.25,14.4167,63,40,8.300000000000001,,"N",2,6,
"WCLOR1984044",67,"CLOR",1984044,"06/17/84 00:00:00",1984,6,17,"P39",54.2,54.3333,14.25,14.4167,63,48,8.800000000000001,,"N",2,6,
"WCLOR1984045",67,"CLOR",1984045,"06/17/84 00:00:00",1984,6,17,"P39",54.2,54.3333,14.25,14.4167,63,61,13.6,,"N",2,6,
"WCLOR1984046",67,"CLOR",1984046,"06/17/84 00:00:00",1984,6,17,"K11",54.2,54.3333,15.23,15.3833,31,0,8.1,,"N",6,6,
"WCLOR1984047",67,"CLOR",1984047,"06/18/84 00:00:00",1984,6,18,"L7",54.5,54.8333,17.32,17.5333,7,0,8.1,,"N",4,9,
"WCLOR1984048",67,"CLOR",1984048,"06/19/84 00:00:00",1984,6,19,"A",54.53,54.8833,17.58,17.9667,18,0,7.9,,"N",4,9,
"WCLOR1984049",67,"CLOR",1984049,"06/15/84 00:00:00",1984,6,15,"GDR250",56.05,56.0833,19.1,19.1667,125,0,7.97,,"N",4,9,
"WCLOR1985001",67,"CLOR",1985001,"06/23/85 00:00:00",1985,6,23,"ZN2",54.23,54.3833,18.5705,18.9508,15,0,0.42,,"N",4,4,
"WCLOR1985002",67,"CLOR",1985002,"06/23/85 00:00:00",1985,6,23,"ZN2",54.23,54.3833,18.5705,18.9508,15,13,7.4,,"N",4,4,
"WCLOR1985003",67,"CLOR",1985003,"06/23/85 00:00:00",1985,6,23,"P110",54.3,54.5,19.068,19.1133,70,0,7.4,,"N",4,4,
"WCLOR1985004",67,"CLOR",1985004,"06/23/85 00:00:00",1985,6,23,"P110",54.3,54.5,19.068,19.1133,70,68,9.5,,"N",4,4,
"WCLOR1985005",67,"CLOR",1985005,"06/23/85 00:00:00",1985,6,23,"P116",54.39,54.65,19.18,19.3,87,0,7.6,,"N",4,4,
"WCLOR1985006",67,"CLOR",1985006,"06/23/85 00:00:00",1985,6,23,"P116",54.39,54.65,19.18,19.3,87,84,11.3,,"N",4,4,
"WCLOR1985007",67,"CLOR",1985007,"06/23/85 00:00:00",1985,6,23,"P1",54.5,54.8333,19.2,19.3333,108,0,7.6,,"N",4,4,
"WCLOR1985008",67,"CLOR",1985008,"06/23/85 00:00:00",1985,6,23,"P1",54.5,54.8333,19.2,19.3333,108,40,7.7,,"N",4,4,
"WCLOR1985009",67,"CLOR",1985009,"06/23/85 00:00:00",1985,6,23,"P1",54.5,54.8333,19.2,19.3333,108,80,10.3,,"N",4,4,
"WCLOR1985010",67,"CLOR",1985010,"06/23/85 00:00:00",1985,6,23,"P1",54.5,54.8333,19.2,19.3333,108,104,11.5,,"N",4,4,
"WCLOR1985011",67,"CLOR",1985011,"06/20/85 00:00:00",1985,6,20,"P40",55.38,55.6333,18.36,18.6,85,0,7.6,,"N",4,9,
"WCLOR1985012",67,"CLOR",1985012,"06/20/85 00:00:00",1985,6,20,"P40",55.38,55.6333,18.36,18.6,85,30,7.7,,"N",4,9,
"WCLOR1985013",67,"CLOR",1985013,"06/20/85 00:00:00",1985,6,20,"P40",55.38,55.6333,18.36,18.6,85,82,10.8,,"N",4,9,
"WCLOR1985014",67,"CLOR",1985014,"06/20/85 00:00:00",1985,6,20,"P2",55.18,55.3,18,18,75,0,7.7,,"N",4,9,
"WCLOR1985015",67,"CLOR",1985015,"06/20/85 00:00:00",1985,6,20,"P2",55.18,55.3,18,18,75,50,7.7,,"N",4,9,
"WCLOR1985016",67,"CLOR",1985016,"06/20/85 00:00:00",1985,6,20,"P2",55.18,55.3,18,18,75,72,10.5,,"N",4,9,
"WCLOR1985017",67,"CLOR",1985017,"06/20/85 00:00:00",1985,6,20,"P3",55.13,55.2167,17.05,17.0833,75,0,7.7,,"N",4,6,
"WCLOR1985018",67,"CLOR",1985018,"06/20/85 00:00:00",1985,6,20,"P3",55.13,55.2167,17.05,17.0833,75,40,7.7,,"N",4,6,
"WCLOR1985019",67,"CLOR",1985019,"06/20/85 00:00:00",1985,6,20,"P3",55.13,55.2167,17.05,17.0833,75,70,10.5,,"N",4,6,
