KEY,NUCLIDE,METHOD,< VALUE_Bq/m³,VALUE_Bq/m³,ERROR%_m³,DATE_OF_ENTRY
"WKRIL2012003","CS137",,,5.3,32,"08/20/14 00:00:00"
"WKRIL2012004","CS137",,,19.9,20,"08/20/14 00:00:00"
"WKRIL2012005","CS137",,,25.5,20,"08/20/14 00:00:00"
"WKRIL2012006","CS137",,,17,29,"08/20/14 00:00:00"
"WKRIL2012007","CS137",,,22.2,18,"08/20/14 00:00:00"
"WKRIL2012008","CS137",,,22,20,"08/20/14 00:00:00"
"WKRIL2012009","CS137",,,23.7,18,"08/20/14 00:00:00"
"WKRIL2012010","CS137",,,28.8,20,"08/20/14 00:00:00"
"WKRIL2012011","CS137",,,27.2,20,"08/20/14 00:00:00"
"WKRIL2012012","CS137",,,16.3,20,"08/20/14 00:00:00"
"WKRIL2012013","CS137",,,33.3,20,"08/20/14 00:00:00"
"WKRIL2012014","CS137",,,25.4,18,"08/20/14 00:00:00"
"WKRIL2012015","CS137",,,14.9,20,"08/20/14 00:00:00"
"WKRIL2012016","CS137",,,34.9,17,"08/20/14 00:00:00"
"WKRIL2012018","CS137",,,29,21,"08/20/14 00:00:00"
"WKRIL2012019","CS137",,,15.7,33,"08/20/14 00:00:00"
"WKRIL2012020","CS137",,,12.3,20,"08/20/14 00:00:00"
"WKRIL2012021","CS137",,,22.2,20,"08/20/14 00:00:00"
"WKRIL2012022","CS137",,,13,34,"08/20/14 00:00:00"
"WKRIL2012023","CS137",,,32.9,20,"08/20/14 00:00:00"
"WKRIL2012025","CS137",,,33.9,20,"08/20/14 00:00:00"
"WKRIL2012026","CS137",,,36.4,20,"08/20/14 00:00:00"
"WKRIL2012027","CS137",,,36.5,20,"08/20/14 00:00:00"
"WKRIL2012028","CS137",,,33.3,20,"08/20/14 00:00:00"
"WKRIL2012029","CS137",,,8.5,40,"08/20/14 00:00:00"
"WKRIL2012030","CS137",,"<",2.6,,"08/20/14 00:00:00"
"WKRIL2012031","CS137",,,48.4,20,"08/20/14 00:00:00"
"WKRIL2012032","CS137",,"<",4,,"08/20/14 00:00:00"
"WKRIL2012033","CS137",,"<",2.7,,"08/20/14 00:00:00"
"WKRIL2012034","CS137",,"<",2.4,,"08/20/14 00:00:00"
"WKRIL2012035","CS137",,"<",3.8,,"08/20/14 00:00:00"
"WKRIL2012036","CS137",,"<",6,,"08/20/14 00:00:00"
"WKRIL2012001","SR90",,,8.199999999999999,20,"08/20/14 00:00:00"
"WKRIL2012002","SR90",,,7.5,20,"08/20/14 00:00:00"
"WKRIL2012003","SR90",,,7.1,20,"08/20/14 00:00:00"
"WKRIL2012004","SR90",,,7.7,19,"08/20/14 00:00:00"
"WKRIL2012005","SR90",,,11.8,20,"08/20/14 00:00:00"
"WKRIL2012006","SR90",,,9.800000000000001,20,"08/20/14 00:00:00"
"WKRIL2012007","SR90",,,10.2,20,"08/20/14 00:00:00"
"WKRIL2012008","SR90",,,8.1,20,"08/20/14 00:00:00"
"WKRIL2012009","SR90",,,8.4,20,"08/20/14 00:00:00"
"WKRIL2012010","SR90",,,9.9,20,"08/20/14 00:00:00"
"WKRIL2012011","SR90",,,3.9,21,"08/20/14 00:00:00"
"WKRIL2012012","SR90",,,6,20,"08/20/14 00:00:00"
"WKRIL2012013","SR90",,,6.8,21,"08/20/14 00:00:00"
"WKRIL2012014","SR90",,,8.5,20,"08/20/14 00:00:00"
"WKRIL2012015","SR90",,,4,20,"08/20/14 00:00:00"
"WKRIL2012016","SR90",,,8.199999999999999,20,"08/20/14 00:00:00"
