KEY,COUNTRY,LABORATORY,SEQUENCE,DATE,YEAR,MONTH,DAY,STATION,LATITUDE (ddmmmm),LATITUDE (dddddd),LONGITUDE (ddmmmm),LONGITUDE (dddddd),DEVICE,TDEPTH,UPPSLI,LOWSLI,AREA,SEDI,OXIC,DW%,LOI%,MORS_SUBBASIN,HELCOM_SUBBASIN,SUM_LINK,DATE_OF_ENTRY
"SCLOR1984001",67,"CLOR",1984001,"06/03/84 00:00:00",1984,6,3,"B12",54.2,"54,3333",14.251,14.4183,"CLOR01",63,0,5,0.005,-99,,,,2,6,"a",
"SCLOR1984002",67,"CLOR",1984002,"06/03/84 00:00:00",1984,6,3,"B12",54.2,"54,3333",14.251,14.4183,"CLOR01",63,5,10,0.005,-99,,,,2,6,"a",
"SCLOR1984003",67,"CLOR",1984003,"06/03/84 00:00:00",1984,6,3,"B12",54.2,"54,3333",14.251,14.4183,"CLOR01",63,10,15,0.005,-99,,,,2,6,"a",
"SCLOR1984004",67,"CLOR",1984004,"06/03/84 00:00:00",1984,6,3,"B12",54.2,"54,3333",14.251,14.4183,"CLOR01",63,15,20,0.005,-99,,,,2,6,"a",
"SCLOR1984005",67,"CLOR",1984005,"06/03/84 00:00:00",1984,6,3,"B12",54.2,"54,3333",14.251,14.4183,"CLOR01",63,20,25,0.005,-99,,,,2,6,"a",
"SCLOR1984006",67,"CLOR",1984006,"06/03/84 00:00:00",1984,6,3,"P5",55.15,"55,25",19.59,19.9833,"CLOR01",91,0,5,0.005,-99,,,,4,9,"a",
"SCLOR1984007",67,"CLOR",1984007,"06/03/84 00:00:00",1984,6,3,"P5",55.15,"55,25",19.59,19.9833,"CLOR01",91,5,10,0.005,-99,,,,4,9,"a",
"SCLOR1984008",67,"CLOR",1984008,"06/03/84 00:00:00",1984,6,3,"P5",55.15,"55,25",15.59,15.9833,"CLOR01",91,10,15,0.005,-99,,,,4,6,"a",
"SCLOR1984009",67,"CLOR",1984009,"06/03/84 00:00:00",1984,6,3,"P5",55.15,"55,25",19.59,19.9833,"CLOR01",91,15,20,0.005,-99,,,,4,9,"a",
"SCLOR1984010",67,"CLOR",1984010,"06/03/84 00:00:00",1984,6,3,"P5",55.15,"55,25",19.59,19.9833,"CLOR01",91,20,25,0.005,-99,,,,4,9,"a",
"SCLOR1984011",67,"CLOR",1984011,"06/03/84 00:00:00",1984,6,3,"P3",55.13,"55,2167",17.04,17.0667,"CLOR01",92,0,5,0.005,-99,,,,4,6,"a",
"SCLOR1984012",67,"CLOR",1984012,"06/03/84 00:00:00",1984,6,3,"P3",55.13,"55,2167",17.04,17.0667,"CLOR01",92,5,10,0.005,-99,,,,4,6,"a",
"SCLOR1984013",67,"CLOR",1984013,"06/03/84 00:00:00",1984,6,3,"P3",55.13,"55,2167",17.04,17.0667,"CLOR01",92,10,15,0.005,-99,,,,4,6,"a",
"SCLOR1984014",67,"CLOR",1984014,"06/15/84 00:00:00",1984,6,15,"P2",55.175,"55,2917",18,18,"CLOR01",78,0,5,0.005,-99,,,,4,9,"a",
"SCLOR1984015",67,"CLOR",1984015,"06/15/84 00:00:00",1984,6,15,"P2",55.175,"55,2917",18,18,"CLOR01",78,5,10,0.005,-99,,,,4,9,"a",
"SCLOR1984016",67,"CLOR",1984016,"06/15/84 00:00:00",1984,6,15,"P2",55.175,"55,2917",18,18,"CLOR01",78,10,15,0.005,-99,,,,4,9,"a",
"SCLOR1984017",67,"CLOR",1984017,"06/15/84 00:00:00",1984,6,15,"P40",55.38,"55,6333",18.36,18.6,"CLOR01",95,0,5,0.005,-99,,,,4,9,"a",
"SCLOR1984018",67,"CLOR",1984018,"06/15/84 00:00:00",1984,6,15,"P40",55.38,"55,6333",18.36,18.6,"CLOR01",95,5,10,0.005,-99,,,,4,9,"a",
"SCLOR1984019",67,"CLOR",1984019,"06/15/84 00:00:00",1984,6,15,"P40",55.38,"55,6333",18.36,18.6,"CLOR01",95,10,15,0.005,-99,,,,4,9,"a",
"SCLOR1984020",67,"CLOR",1984020,"06/15/84 00:00:00",1984,6,15,"P41",56.05,"56,0833",19.1,19.1667,"CLOR01",86,0,5,0.005,-99,,,,4,9,"a",
"SCLOR1984021",67,"CLOR",1984021,"06/15/84 00:00:00",1984,6,15,"P41",56.05,"56,0833",19.1,19.1667,"CLOR01",86,5,10,0.005,-99,,,,4,9,"a",
"SCLOR1984022",67,"CLOR",1984022,"06/15/84 00:00:00",1984,6,15,"P41",56.05,"56,0833",19.1,19.1667,"CLOR01",86,10,15,0.005,-99,,,,4,9,"a",
"SCLOR1984023",67,"CLOR",1984023,"06/15/84 00:00:00",1984,6,15,"P41",56.05,"56,0833",19.1,19.1667,"CLOR01",86,15,20,0.005,-99,,,,4,9,"a",
"SCLOR1984024",67,"CLOR",1984024,"06/15/84 00:00:00",1984,6,15,"P41",56.05,"56,0833",19.1,19.1667,"CLOR01",86,20,25,0.005,-99,,,,4,9,"a",
"SCLOR1984025",67,"CLOR",1984025,"06/15/84 00:00:00",1984,6,15,"P41",56.05,"56,0833",19.1,19.1667,"CLOR01",86,25,30,0.005,-99,,,,4,9,"a",
"SCLOR1984026",67,"CLOR",1984026,"06/05/84 00:00:00",1984,6,5,"P1",54.5,"54,8333",19.2,19.3333,"CLOR01",109,0,5,0.005,-99,,,,4,4,"a",
"SCLOR1984027",67,"CLOR",1984027,"06/13/84 00:00:00",1984,6,13,"P110",54.3,"54,5",19.068,19.1133,"CLOR01",70,0,5,0.005,-99,,,,4,4,"a",
"SCLOR1984028",67,"CLOR",1984028,"06/13/84 00:00:00",1984,6,13,"P110",54.3,"54,5",19.068,19.1133,"CLOR01",70,5,10,0.005,-99,,,,4,4,"a",
"SCLOR1984029",67,"CLOR",1984029,"06/13/84 00:00:00",1984,6,13,"P110",54.3,"54,5",19.068,19.1133,"CLOR01",70,10,15,0.005,-99,,,,4,4,"a",
"SCLOR1984030",67,"CLOR",1984030,"06/13/84 00:00:00",1984,6,13,"P110",54.3,"54,5",19.068,19.1133,"CLOR01",70,15,20,0.005,-99,,,,4,4,"a",
"SCLOR1985001",67,"CLOR",1985001,"06/21/85 00:00:00",1985,6,21,"P40",55.38,"55,6333",18.36,18.6,"CLOR01",108,0,3,0.005,-99,,,,4,9,"a",
"SCLOR1985002",67,"CLOR",1985002,"06/21/85 00:00:00",1985,6,21,"P40",55.38,"55,6333",18.36,18.6,"CLOR01",108,3,6,0.005,-99,,,,4,9,"a",
"SCLOR1985003",67,"CLOR",1985003,"06/21/85 00:00:00",1985,6,21,"P40",55.38,"55,6333",18.36,18.6,"CLOR01",108,6,10,0.005,-99,,,,4,9,"a",
