KEY,NUCLIDE,METHOD,< VALUE_Bq/kg,VALUE_Bq/kg,ERROR%_kg,< VALUE_Bq/m²,VALUE_Bq/m²,ERROR%_m²,DATE_OF_ENTRY
"SKRIL2012116","CS137",,,1200,20,,,,"08/20/14 00:00:00"
"SKRIL2012117","CS137",,,250,20,,,,"08/20/14 00:00:00"
"SKRIL2012118","CS137",,,140,21,,,,"08/20/14 00:00:00"
"SKRIL2012119","CS137",,,79,20,,,,"08/20/14 00:00:00"
"SKRIL2012120","CS137",,,29,24,,,,"08/20/14 00:00:00"
"SKRIL2012121","CS137",,,12,25,,,,"08/20/14 00:00:00"
"SKRIL2012122","CS137",,,81,21,,,,"08/20/14 00:00:00"
"SKRIL2012123","CS137",,,63,21,,,,"08/20/14 00:00:00"
"SKRIL2012124","CS137",,,61,21,,,,"08/20/14 00:00:00"
"SKRIL2012125","CS137",,,41,20,,,,"08/20/14 00:00:00"
"SKRIL2012126","CS137",,,31,23,,,,"08/20/14 00:00:00"
"SKRIL2012127","CS137",,,15,20,,,,"08/20/14 00:00:00"
"SKRIL2012128","CS137",,,2.3,48,,,,"08/20/14 00:00:00"
"SKRIL2012129","CS137",,,1,5,,,,"08/20/14 00:00:00"
"SKRIL2012130","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012131","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012132","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012133","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012134","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012135","CS137",,,1100,20,,,,"08/20/14 00:00:00"
"SKRIL2012136","CS137",,,180,21,,,,"08/20/14 00:00:00"
"SKRIL2012137","CS137",,,115,22,,,,"08/20/14 00:00:00"
"SKRIL2012138","CS137",,,83,20,,,,"08/20/14 00:00:00"
"SKRIL2012139","CS137",,,71,21,,,,"08/20/14 00:00:00"
"SKRIL2012140","CS137",,,70,20,,,,"08/20/14 00:00:00"
"SKRIL2012141","CS137",,,75,20,,,,"08/20/14 00:00:00"
"SKRIL2012142","CS137",,,56,21,,,,"08/20/14 00:00:00"
"SKRIL2012143","CS137",,,16,25,,,,"08/20/14 00:00:00"
"SKRIL2012144","CS137",,,4.3,23,,,,"08/20/14 00:00:00"
"SKRIL2012145","CS137",,,1.9,47,,,,"08/20/14 00:00:00"
"SKRIL2012146","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012147","CS137",,,1.5,53,,,,"08/20/14 00:00:00"
"SKRIL2012148","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012149","CS137",,,230,22,,,,"08/20/14 00:00:00"
"SKRIL2012150","CS137",,,130,23,,,,"08/20/14 00:00:00"
"SKRIL2012151","CS137",,,36,22,,,,"08/20/14 00:00:00"
"SKRIL2012152","CS137",,,3.5,20,,,,"08/20/14 00:00:00"
"SKRIL2012153","CS137",,,1.6,50,,,,"08/20/14 00:00:00"
"SKRIL2012154","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012155","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012156","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012157","CS137",,"<",1,,,,,"08/20/14 00:00:00"
"SKRIL2012158","CS137",,,420,21,,,,"08/20/14 00:00:00"
"SKRIL2012159","CS137",,,840,20,,,,"08/20/14 00:00:00"
"SKRIL2012160","CS137",,,1100,18,,,,"08/20/14 00:00:00"
"SKRIL2012161","CS137",,,820,21,,,,"08/20/14 00:00:00"
"SKRIL2012162","CS137",,,110,18,,,,"08/20/14 00:00:00"
"SKRIL2012163","CS137",,,87,21,,,,"08/20/14 00:00:00"
"SKRIL2012164","CS137",,,70,21,,,,"08/20/14 00:00:00"
"SKRIL2012165","CS137",,,32,22,,,,"08/20/14 00:00:00"
"SKRIL2012048","RA226",,,35,26,,,,"08/20/14 00:00:00"
"SKRIL2012049","RA226",,,36,22,,,,"08/20/14 00:00:00"
"SKRIL2012050","RA226",,,38,24,,,,"08/20/14 00:00:00"
"SKRIL2012051","RA226",,,36,25,,,,"08/20/14 00:00:00"
"SKRIL2012052","RA226",,,30,23,,,,"08/20/14 00:00:00"
"SKRIL2012053","RA226",,,30,30,,,,"08/20/14 00:00:00"
"SKRIL2012054","RA226",,,39,28,,,,"08/20/14 00:00:00"
"SKRIL2012055","RA226",,,26,27,,,,"08/20/14 00:00:00"
"SKRIL2012056","RA226",,,35,23,,,,"08/20/14 00:00:00"
"SKRIL2012057","RA226",,,31,23,,,,"08/20/14 00:00:00"
"SKRIL2012058","RA226",,,32,25,,,,"08/20/14 00:00:00"
"SKRIL2012059","RA226",,,30,23,,,,"08/20/14 00:00:00"
"SKRIL2012060","RA226",,,27,26,,,,"08/20/14 00:00:00"
"SKRIL2012061","RA226",,,24,21,,,,"08/20/14 00:00:00"
"SKRIL2012062","RA226",,,27,22,,,,"08/20/14 00:00:00"
"SKRIL2012063","RA226",,,33,21,,,,"08/20/14 00:00:00"
"SKRIL2012064","RA226",,,35,23,,,,"08/20/14 00:00:00"
"SKRIL2012065","RA226",,,44,20,,,,"08/20/14 00:00:00"
"SKRIL2012066","RA226",,,48,21,,,,"08/20/14 00:00:00"
"SKRIL2012067","RA226",,,53,23,,,,"08/20/14 00:00:00"
"SKRIL2012068","RA226",,,62,21,,,,"08/20/14 00:00:00"
"SKRIL2012069","RA226",,,79,20,,,,"08/20/14 00:00:00"
"SKRIL2012070","RA226",,,77,19,,,,"08/20/14 00:00:00"
"SKRIL2012071","RA226",,,69,22,,,,"08/20/14 00:00:00"
"SKRIL2012072","RA226",,,45,20,,,,"08/20/14 00:00:00"
"SKRIL2012073","RA226",,,36,19,,,,"08/20/14 00:00:00"
"SKRIL2012074","RA226",,,34,21,,,,"08/20/14 00:00:00"
"SKRIL2012075","RA226",,,34,21,,,,"08/20/14 00:00:00"
"SKRIL2012076","RA226",,,36,19,,,,"08/20/14 00:00:00"
"SKRIL2012077","RA226",,,35,20,,,,"08/20/14 00:00:00"
"SKRIL2012080","RA226",,,430,21,,,,"08/20/14 00:00:00"
"SKRIL2012081","RA226",,,180,21,,,,"08/20/14 00:00:00"
"SKRIL2012082","RA226",,,99,20,,,,"08/20/14 00:00:00"
"SKRIL2012083","RA226",,,40,23,,,,"08/20/14 00:00:00"
"SKRIL2012084","RA226",,,63,21,,,,"08/20/14 00:00:00"
"SKRIL2012085","RA226",,,49,20,,,,"08/20/14 00:00:00"
"SKRIL2012086","RA226",,,40,20,,,,"08/20/14 00:00:00"
"SKRIL2012087","RA226",,,41,22,,,,"08/20/14 00:00:00"
"SKRIL2012088","RA226",,,41,22,,,,"08/20/14 00:00:00"
"SKRIL2012089","RA226",,,34,21,,,,"08/20/14 00:00:00"
"SKRIL2012090","RA226",,,39,21,,,,"08/20/14 00:00:00"
"SKRIL2012091","RA226",,,200,20,,,,"08/20/14 00:00:00"
"SKRIL2012092","RA226",,,34,21,,,,"08/20/14 00:00:00"
"SKRIL2012093","RA226",,,31,23,,,,"08/20/14 00:00:00"
"SKRIL2012094","RA226",,,35,20,,,,"08/20/14 00:00:00"
"SKRIL2012095","RA226",,,38,21,,,,"08/20/14 00:00:00"
"SKRIL2012096","RA226",,,24,29,,,,"08/20/14 00:00:00"
"SKRIL2012097","RA226",,,77,21,,,,"08/20/14 00:00:00"
"SKRIL2012098","RA226",,,57,25,,,,"08/20/14 00:00:00"
"SKRIL2012099","RA226",,,61,23,,,,"08/20/14 00:00:00"
"SKRIL2012100","RA226",,,59,24,,,,"08/20/14 00:00:00"
"SKRIL2012101","RA226",,,60,23,,,,"08/20/14 00:00:00"
"SKRIL2012102","RA226",,,53,25,,,,"08/20/14 00:00:00"
"SKRIL2012103","RA226",,,130,23,,,,"08/20/14 00:00:00"
"SKRIL2012104","RA226",,,200,20,,,,"08/20/14 00:00:00"
"SKRIL2012105","RA226",,,46,26,,,,"08/20/14 00:00:00"
"SKRIL2012106","RA226",,,39,31,,,,"08/20/14 00:00:00"
"SKRIL2012107","RA226",,,31,35,,,,"08/20/14 00:00:00"
"SKRIL2012110","RA226",,,41,22,,,,"08/20/14 00:00:00"
"SKRIL2012111","RA226",,,40,23,,,,"08/20/14 00:00:00"
"SKRIL2012112","RA226",,,36,22,,,,"08/20/14 00:00:00"
"SKRIL2012113","RA226",,,43,21,,,,"08/20/14 00:00:00"
"SKRIL2012114","RA226",,,43,21,,,,"08/20/14 00:00:00"
"SKRIL2012115","RA226",,,44,20,,,,"08/20/14 00:00:00"
"SKRIL2012116","RA226",,,46,22,,,,"08/20/14 00:00:00"
"SKRIL2012117","RA226",,,48,21,,,,"08/20/14 00:00:00"
"SKRIL2012118","RA226",,,55,20,,,,"08/20/14 00:00:00"
"SKRIL2012119","RA226",,,49,20,,,,"08/20/14 00:00:00"
"SKRIL2012120","RA226",,,40,23,,,,"08/20/14 00:00:00"
