ID,Contracting Party,RSC Sub-division,Station ID,Sample ID,LatD,LatM,LatS,LatDir,LongD,LongM,LongS,LongDir,Sample type,Biological group,Species,Body Part,Sampling date,Nuclide,Value type,Activity or MDA,Uncertainty,Unit,Data provider,Measurement Comment,Sample Comment,Reference Comment
1,Belgium,8,Kloosterzande-Schelde,DA 17531,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Molluscs,Ostrea edulis,WHOLE ANIMAL,03/03/10 00:00:00,137Cs,<,0.326416,,Bq/kg f.w.,SCK•CEN,,,
2,Belgium,8,Kloosterzande-Schelde,DA 17534,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Molluscs,Ostrea edulis,WHOLE ANIMAL,06/14/10 00:00:00,137Cs,<,0.442704,,Bq/kg f.w.,SCK•CEN,,,
3,Belgium,8,Kloosterzande-Schelde,DA 17537,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Molluscs,Ostrea edulis,WHOLE ANIMAL,09/27/10 00:00:00,137Cs,<,0.412989,,Bq/kg f.w.,SCK•CEN,,,
4,Belgium,8,Kloosterzande-Schelde,DA 17540,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Molluscs,Ostrea edulis,WHOLE ANIMAL,12/08/10 00:00:00,137Cs,<,0.202768,,Bq/kg f.w.,SCK•CEN,,,
5,Belgium,8,Kloosterzande-Schelde,DA 17531,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Molluscs,Ostrea edulis,WHOLE ANIMAL,03/03/10 00:00:00,226Ra,<,0.652833,,Bq/kg f.w.,SCK•CEN,,,
6,Belgium,8,Kloosterzande-Schelde,DA 17534,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Molluscs,Ostrea edulis,WHOLE ANIMAL,06/14/10 00:00:00,226Ra,<,0.908709,,Bq/kg f.w.,SCK•CEN,,,
7,Belgium,8,Kloosterzande-Schelde,DA 17537,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Molluscs,Ostrea edulis,WHOLE ANIMAL,09/27/10 00:00:00,226Ra,<,0.869451,,Bq/kg f.w.,SCK•CEN,,,
8,Belgium,8,Kloosterzande-Schelde,DA 17540,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Molluscs,Ostrea edulis,WHOLE ANIMAL,12/08/10 00:00:00,226Ra,<,0.450596,,Bq/kg f.w.,SCK•CEN,,,
9,Belgium,8,Kloosterzande-Schelde,DA 17531,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Molluscs,Ostrea edulis,WHOLE ANIMAL,03/03/10 00:00:00,228Ra,<,1.142457,,Bq/kg f.w.,SCK•CEN,,,
10,Belgium,8,Kloosterzande-Schelde,DA 17534,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Molluscs,Ostrea edulis,WHOLE ANIMAL,06/14/10 00:00:00,228Ra,<,1.864018,,Bq/kg f.w.,SCK•CEN,,,
11,Belgium,8,Kloosterzande-Schelde,DA 17537,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Molluscs,Ostrea edulis,WHOLE ANIMAL,09/27/10 00:00:00,228Ra,<,1.521539,,Bq/kg f.w.,SCK•CEN,,,
12,Belgium,8,Kloosterzande-Schelde,DA 17540,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Molluscs,Ostrea edulis,WHOLE ANIMAL,12/08/10 00:00:00,228Ra,<,0.833602,,Bq/kg f.w.,SCK•CEN,,,
17,Belgium,8,Kloosterzande-Schelde,DA 17531,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Molluscs,Ostrea edulis,WHOLE ANIMAL,03/03/10 00:00:00,"239,240Pu",<,0.021217,,Bq/kg f.w.,SCK•CEN,,,
18,Belgium,8,Kloosterzande-Schelde,DA 17534,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Molluscs,Ostrea edulis,WHOLE ANIMAL,06/14/10 00:00:00,"239,240Pu",<,0.02563,,Bq/kg f.w.,SCK•CEN,,,
19,Belgium,8,Kloosterzande-Schelde,DA 17537,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Molluscs,Ostrea edulis,WHOLE ANIMAL,09/27/10 00:00:00,"239,240Pu",<,0.015,,Bq/kg f.w.,SCK•CEN,,,
20,Belgium,8,Kloosterzande-Schelde,DA 17540,51,23.0,36.0,N,4,1.0,52.0,E,BIOT,Molluscs,Ostrea edulis,WHOLE ANIMAL,12/08/10 00:00:00,"239,240Pu",<,0.009,,Bq/kg f.w.,SCK•CEN,,,
21,Belgium,8,Ostend,MNZ 01,51,14.0,17.0,N,2,55.0,6.0,E,BIOT,Molluscs,Mytilus edulis,WHOLE ANIMAL,05/19/10 00:00:00,137Cs,<,0.380379,,Bq/kg f.w.,SCK•CEN,,,
22,Belgium,8,Ostend,MNZ 02,51,14.0,17.0,N,2,55.0,6.0,E,BIOT,Molluscs,Mytilus edulis,WHOLE ANIMAL,07/01/10 00:00:00,137Cs,<,0.629769,,Bq/kg f.w.,SCK•CEN,,,
23,Belgium,8,Ostend,MNZ 03,51,14.0,17.0,N,2,55.0,6.0,E,BIOT,Molluscs,Mytilus edulis,WHOLE ANIMAL,09/13/10 00:00:00,137Cs,<,0.820852,,Bq/kg f.w.,SCK•CEN,,,
24,Belgium,8,Ostend,MNZ 04,51,14.0,17.0,N,2,55.0,6.0,E,BIOT,Molluscs,Mytilus edulis,WHOLE ANIMAL,11/24/10 00:00:00,137Cs,<,0.205772,,Bq/kg f.w.,SCK•CEN,,,
