ID,Contracting Party,RSC Sub-division,Station ID,Sample ID,LatD,LatM,LatS,LatDir,LongD,LongM,LongS,LongDir,Sample type,Sampling depth,Sampling date,Nuclide,Value type,Activity or MDA,Uncertainty,Unit,Data provider,Measurement Comment,Sample Comment,Reference Comment
1,Belgium,8.0,Belgica-W01,WNZ 01,51,22.0,31.0,N,3,11.0,17.0,E,Water,3.0,01/27/10 00:00:00,137Cs,<,0.2,,Bq/l,SCK•CEN,,,
2,Belgium,8.0,Belgica-W02,WNZ 02,51,13.0,25.0,N,2,51.0,34.0,E,Water,3.0,01/27/10 00:00:00,137Cs,<,0.27,,Bq/l,SCK•CEN,,,
3,Belgium,8.0,Belgica-W03,WNZ 03,51,11.0,4.0,N,2,42.0,49.0,E,Water,3.0,01/27/10 00:00:00,137Cs,<,0.26,,Bq/l,SCK•CEN,,,
4,Belgium,8.0,Belgica-W04,WNZ 04,51,25.0,13.0,N,3,15.0,44.0,E,Water,3.0,01/27/10 00:00:00,137Cs,<,0.25,,Bq/l,SCK•CEN,,,
5,Belgium,8.0,Belgica-W05,WNZ 05,51,24.0,58.0,N,2,48.0,35.0,E,Water,3.0,01/26/10 00:00:00,137Cs,<,0.2,,Bq/l,SCK•CEN,,,
6,Belgium,8.0,Belgica-W06,WNZ 06,51,15.0,46.0,N,2,25.0,54.0,E,Water,3.0,01/27/10 00:00:00,137Cs,<,0.24,,Bq/l,SCK•CEN,,,
7,Belgium,8.0,Belgica-W07,WNZ 07,51,35.0,5.0,N,3,0.0,22.0,E,Water,3.0,01/25/10 00:00:00,137Cs,<,0.19,,Bq/l,SCK•CEN,,,
8,Belgium,8.0,Belgica-W09,WNZ 08,51,44.0,58.0,N,2,42.0,1.0,E,Water,3.0,01/26/10 00:00:00,137Cs,<,0.28,,Bq/l,SCK•CEN,,,
9,Belgium,8.0,Belgica-W10,WNZ 09,51,40.0,58.0,N,2,24.0,57.0,E,Water,3.0,01/26/10 00:00:00,137Cs,<,0.28,,Bq/l,SCK•CEN,,,
10,Belgium,8.0,Belgica-W01,WNZ 10,51,22.0,31.0,N,3,11.0,17.0,E,Water,3.0,04/19/10 00:00:00,137Cs,<,0.2,,Bq/l,SCK•CEN,,,
